Lcl Time,AltMSL,IAS,OAT,E1 RPM,E1 MAP,E1 FFlow,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 OilP,E1 OilT,Pitch,Roll,GndSpd
00:00:00,895.4,70.1,13.1,2693,29.07,16.6,24.7,24.2,24.3,24.2,790.8,784.0,795.5,787.0,70.4,17.0,4.35,1.02,80.0
00:00:01,915.8,69.7,12.8,2686,29.12,16.69,30.5,30.3,30.4,30.8,790.5,783.8,795.4,786.5,70.2,16.8,4.43,1.49,80.0
00:00:02,935.3,70.8,13.2,2693,29.14,16.59,36.4,36.4,37.0,36.6,789.8,782.5,793.6,785.5,69.8,17.9,4.29,-0.55,79.7
00:00:03,965.6,70.8,12.9,2691,29.02,16.61,42.6,42.9,42.6,43.0,790.3,784.5,794.9,785.5,69.8,18.4,4.16,0.36,79.7
00:00:04,977.5,70.3,12.7,2691,29.01,16.59,48.0,48.1,49.0,48.7,791.1,783.6,794.4,786.7,70.3,18.9,4.11,-1.68,80.3
00:00:05,1008.2,71.3,13.2,2692,29.03,16.66,53.8,53.7,54.7,53.5,791.6,785.7,795.2,785.7,69.8,19.3,4.01,0.39,81.7
00:00:06,1027.1,70.9,13.3,2687,29.1,16.57,59.6,59.1,60.0,59.9,788.3,782.1,795.1,787.1,69.9,20.1,4.25,-1.86,80.5
00:00:07,1048.6,71.1,13.3,2688,28.98,16.54,65.0,64.5,65.1,65.0,789.4,782.4,795.3,787.1,69.5,21.1,4.25,0.88,81.1
00:00:08,1061.0,71.8,13.1,2686,29.05,16.55,70.7,70.1,70.1,70.0,791.5,785.7,795.7,788.6,70.2,21.2,3.99,1.96,81.2
00:00:09,1092.2,72.5,12.6,2694,29.01,16.51,75.7,75.3,75.9,75.5,788.2,783.7,794.4,785.6,69.8,22.3,3.98,-0.11,82.0
00:00:10,1106.2,71.9,12.5,2689,28.99,16.54,80.6,79.7,80.5,80.8,791.6,784.9,793.6,788.7,70.0,23.0,3.91,-0.58,81.1
00:00:11,1136.6,71.6,12.4,2695,28.93,16.64,85.5,85.4,85.3,85.0,792.0,785.8,795.1,786.1,70.3,23.4,3.96,1.19,81.9
