timestamp,rpm,temperature,pressure,vibration,load,fuel_flow,altitude,ambient_temperature,state,fault
2026-08-23T18:30:45.132448,4893.5,77.2,4.23,2.03,67.5,12.08,1493.8,21.62,DEGRADATION,MECHANICAL_DEGRADATION
2026-08-23T18:30:46.132448,4755.8,77.03,4.16,1.95,62.3,12.63,1491.8,20.4,DEGRADATION,MECHANICAL_DEGRADATION
2026-08-23T18:30:47.132448,4845.2,77.61,4.14,2.07,65.7,12.52,1487.2,22.1,DEGRADATION,MECHANICAL_DEGRADATION
2026-08-23T18:30:48.132448,4734.9,79.85,4.09,1.98,65.1,12.57,1496.3,22.24,DEGRADATION,MECHANICAL_DEGRADATION
2026-08-23T18:30:49.132448,4649.8,77.88,4.17,1.92,69.2,12.18,1496.8,20.92,DEGRADATION,MECHANICAL_DEGRADATION
2026-08-23T18:30:50.132448,4799.7,76.09,4.05,2.48,66.8,12.47,1500.6,21.21,DEGRADATION,MECHANICAL_DEGRADATION
2026-08-23T18:30:51.132448,4745.1,78.59,4.0,2.07,59.4,12.52,1481.1,22.82,DEGRADATION,MECHANICAL_DEGRADATION
2026-08-23T18:30:52.132448,4827.5,77.49,4.02,1.86,64.5,12.18,1502.3,22.44,DEGRADATION,MECHANICAL_DEGRADATION
2026-08-23T18:30:53.132448,4782.9,77.63,4.23,1.97,67.3,12.39,1522.6,21.79,DEGRADATION,MECHANICAL_DEGRADATION
2026-08-23T18:30:54.132448,4740.9,78.32,4.12,1.85,64.3,12.72,1465.1,21.91,DEGRADATION,MECHANICAL_DEGRADATION
2026-08-23T18:30:55.132448,4776.7,78.07,4.23,1.78,66.7,12.42,1499.8,21.83,DEGRADATION,MECHANICAL_DEGRADATION
2026-08-23T18:30:56.132448,4768.5,77.65,4.2,2.48,68.0,12.76,1506.8,21.7,DEGRADATION,MECHANICAL_DEGRADATION
2026-08-23T18:30:57.132448,4805.9,80.88,4.06,2.23,67.9,12.59,1510.6,22.66,DEGRADATION,MECHANICAL_DEGRADATION
2026-08-23T18:30:58.132448,4870.7,80.0,4.3,2.14,67.4,12.57,1503.4,21.73,DEGRADATION,MECHANICAL_DEGRADATION
2026-08-23T18:30:59.132448,4808.0,80.24,4.15,2.14,66.9,12.53,1513.4,22.1,DEGRADATION,MECHANICAL_DEGRADATION
2026-08-23T18:31:00.132448,4732.6,77.29,4.22,2.22,68.4,12.61,1502.5,21.18,DEGRADATION,MECHANICAL_DEGRADATION
2026-08-23T18:31:01.132448,4835.6,77.48,4.24,1.87,63.0,12.58,1493.0,21.63,DEGRADATION,MECHANICAL_DEGRADATION
2026-08-23T18:31:02.132448,4814.5,79.46,4.19,2.05,62.6,12.4,1491.7,21.97,DEGRADATION,MECHANICAL_DEGRADATION
2026-08-23T18:31:03.132448,4808.4,78.49,4.09,2.0,69.0,12.6,1503.3,22.13,DEGRADATION,MECHANICAL_DEGRADATION
2026-08-23T18:31:04.132448,4800.4,78.91,4.25,2.29,56.6,12.51,1544.3,21.35,DEGRADATION,MECHANICAL_DEGRADATION
2026-08-23T18:31:05.132448,4780.8,80.09,4.15,2.41,61.4,12.18,1497.1,21.63,DEGRADATION,MECHANICAL_DEGRADATION
2026-08-23T18:31:06.132448,4731.5,79.52,4.17,2.15,64.0,12.64,1498.2,21.63,DEGRADATION,MECHANICAL_DEGRADATION
2026-08-23T18:31:07.132448,4794.1,79.33,4.15,2.29,61.9,12.52,1492.1,22.67,DEGRADATION,MECHANICAL_DEGRADATION
2026-08-23T18:31:08.132448,4792.8,81.46,4.27,2.09,61.9,12.71,1495.8,21.92,DEGRADATION,MECHANICAL_DEGRADATION
2026-08-23T18:31:09.132448,4728.7,79.68,4.16,2.25,66.2,12.3,1466.4,21.86,DEGRADATION,MECHANICAL_DEGRADATION
